author/canDm,author/canMediaTag,author/coverPicture,author/createdAt,author/description,author/entities/url/urls/0/display_url,author/entities/url/urls/0/url,author/favouritesCount,author/followers,author/following,author/hasCustomTimelines,author/isBlueVerified,author/location,author/mediaCount,author/name,author/pinnedTweetIds/0,author/profilePicture,author/statusesCount,author/twitterUrl,author/url,author/userName,author/verifiedType,bookmarkCount,card/legacy/user_refs_results/0/result/legacy/screen_name,conversationId,createdAt,entities/hashtags/0/indices/0,entities/hashtags/0/indices/1,entities/hashtags/0/text,fullText,id,inReplyToId,inReplyToUsername,isConversationControlled,isQuote,isReply,lang,likeCount,possiblySensitive,quote/author/canDm,quote/author/canMediaTag,quote/author/createdAt,quote/author/followers,quote/author/following,quote/author/id,quote/author/isBlueVerified,quote/author/isVerified,quote/author/location,quote/author/name,quote/isPinned,quote/lang,quote/likeCount,quote/possiblySensitive,quote/quoteCount,quote/replyCount,quote/retweetCount,quote/text,quote/viewCount,quoteCount,quoteId,replyCount,retweetCount,source,text,twitterUrl,viewCount,platform
FALSO,VERDADERO,https://pbs.twimg.com/profile_banners/522108784/1732524018,Mon Mar 12 09:35:42 +0000 2012,????? Grupo Parlamentario Socialista en el @Congreso_Es. Aquí legislamos para mejorar la calidad de vida de las personas.,linktr.ee/gpscongreso,https://t.co/shZlKWuQdY,4533,77497,1605,VERDADERO,FALSO,Madrid,23662,PSOE Congreso,"1,88215E+34",https://pbs.twimg.com/profile_images/1860966726625632256/Vegn8S17_normal.jpg,84932,https://twitter.com/gpscongreso,https://x.com/gpscongreso,gpscongreso,,0,,"1,86946E+18",Wed Dec 18 18:59:51 +0000 2024,,,,"Debemos poner en valor la información proporcionada por la evidencia científica y explicar la importancia que tiene disponer de organismos para este fin.

? Es imprescindible proteger a la ciudadanía de la desinformación que puede poner en riesgo su bienestar.

??? @andreu_martin https://t.co/9rsxBkxk5q","1,86946E+18",,,FALSO,FALSO,FALSO,es,40,FALSO,,,,,,,,,,,,,,,,,,,,0,,13,20,Twitter Web App,"Debemos poner en valor la información proporcionada por la evidencia científica y explicar la importancia que tiene disponer de organismos para este fin.

? Es imprescindible proteger a la ciudadanía de la desinformación que puede poner en riesgo su bienestar.

??? @andreu_martin https://t.co/9rsxBkxk5q",https://twitter.com/gpscongreso/status/1869457567585599523,7550.0,TikTok
FALSO,VERDADERO,https://pbs.twimg.com/profile_banners/433514137/1734286994,Sat Dec 10 17:20:47 +0000 2011,,,,189265,36209,2014,VERDADERO,VERDADERO,,7683,Jaime,"1,53018E+34",https://pbs.twimg.com/profile_images/880406514825121793/CvHceC91_normal.jpg,115138,https://twitter.com/DragonLadyU2,https://x.com/DragonLadyU2,DragonLadyU2,,10,,"1,85698E+18",Thu Nov 14 08:28:19 +0000 2024,,,,Periodistas muy periodistas y demás figuras mediáticas diciendo que se van de este antro de perdición de la desinformación para a continuación poner el link a su perfil de TikTok es todo lo que tenéis que saber sobre lo que les preocupa las feik nius.,"1,85698E+18",,,FALSO,FALSO,FALSO,es,482,,,,,,,,,,,,,,,,,,,,,3,,11,166,Twitter for iPhone,Periodistas muy periodistas y demás figuras mediáticas diciendo que se van de este antro de perdición de la desinformación para a continuación poner el link a su perfil de TikTok es todo lo que tenéis que saber sobre lo que les preocupa las feik nius.,https://twitter.com/DragonLadyU2/status/1856977447104794770,129060.0,TikTok
FALSO,VERDADERO,https://pbs.twimg.com/profile_banners/17995040/1731535861,Tue Dec 09 16:40:22 +0000 2008,"Daily Wire co-founder, host of @benshapiroshow, #1 NYT bestselling author, Americas #1 ex-rapper",bit.ly/3M5qqMv,https://t.co/RoOLkpnyNm,50,7636700,413,VERDADERO,VERDADERO,,8447,Ben Shapiro,"1,88251E+34",https://pbs.twimg.com/profile_images/1791135695567740928/nrRmsfkZ_normal.jpg,203731,https://twitter.com/benshapiro,https://x.com/benshapiro,benshapiro,,51,,"1,87672E+18",Tue Jan 07 19:58:40 +0000 2025,,,,"This was always the game for the legacy media: cudgel compliant social media services into shutting down alternative points of view by lying about ""fact-checking"" and ""misinformation"" https://t.co/tWo6itSRcM","1,87672E+18",,,FALSO,FALSO,FALSO,en,2883,FALSO,,,,,,,,,,,,,,,,,,,,14,,183,340,Twitter Web App,"This was always the game for the legacy media: cudgel compliant social media services into shutting down alternative points of view by lying about ""fact-checking"" and ""misinformation"" https://t.co/tWo6itSRcM",https://twitter.com/benshapiro/status/1876720125837021471,1782770.0,TikTok
FALSO,VERDADERO,https://pbs.twimg.com/profile_banners/1635369805724221441/1718319535,Mon Mar 13 19:58:57 +0000 2023,American Dissident. Nationalist. Anti-Communist. Navy Vet. America FIRST. Christ is KING. https://t.co/HfgVMMi7bL,ThePatriotVoice.us,https://t.co/d3DZ6wzIHT,30147,143419,2306,FALSO,VERDADERO,The Great State of Texas,2809,The Patriot Voice,"1,88119E+34",https://pbs.twimg.com/profile_images/1872070034027134976/aMpC2d6P_normal.jpg,33816,https://twitter.com/TPV_John,https://x.com/TPV_John,TPV_John,,22,,"1,87494E+18",Thu Jan 02 22:06:07 +0000 2025,,,,"DO NOT allow the Mockingbird FAKE NEWS media or politicians to gaslight you into thinking there is a Muslim problem which we need to go to war in the Middle East to solve

We have been there before, and the results were HORRENDOUS.

That is EXACTLY what happened after 9/11.","1,87494E+18",,,FALSO,FALSO,FALSO,en,226,,,,,,,,,,,,,,,,,,,,,8,,34,88,Twitter for iPad,"DO NOT allow the Mockingbird FAKE NEWS media or politicians to gaslight you into thinking there is a Muslim problem which we need to go to war in the Middle East to solve

We have been there before, and the results were HORRENDOUS.

That is EXACTLY what happened after 9/11. They were able to rile up the American people for war with endless fear, and terrorism propaganda which ended up spawning TWO ILLEGAL WARS with MILLIONS of casualties, and a totally destabilized Iraq, and Afghanistan. Two countries that had absolutely NOTHING to do with what happened on that day.

This time, a conflict there will absolutely lead us into a sure fire WW3 scenario with Iran. Which is the END GOAL.

Dont you see how this works?

That is the SAME narrative that is being built around this current America is under attack narrative due to the incidents that took place yesterday, and some which are likely to follow in coming days. They have already lied about the perpetrator, saying he was an ISIS Migrant Terrorist yet the man was a US citizen, from Texas and a US Army veteran.

Same with the man who blew himself up in the Cybertruck in front of Trump Hotel in Las Vegas, he was active Military.

Im FAR MORE concerned with these likely MK Ultra CIA ops that are purposely inspiring terror and fear, than I am with Radical Jihadis supposedly crossing the border.

Make NO mistakeAmerica IS under attack, but its coming from WITHIN.",https://twitter.com/TPV_John/status/1874940261195026653,381620.0,TikTok
VERDADERO,VERDADERO,https://pbs.twimg.com/profile_banners/1583039425499439104/1698739799,Thu Oct 20 10:17:32 +0000 2022,"Marcos Loyalist. Sword and shield for PBBM and the Marcoses. ??

Anti-DDS. Anti-Dilawan. Pro-PH ????",,,55030,1263,552,FALSO,FALSO,"Calabarzon, Republic of the Ph",2370,MARCUS PRO-PH ????,"1,7284E+34",https://pbs.twimg.com/profile_images/1795598454401695744/b0gwNHEO_normal.jpg,18082,https://twitter.com/MarcusBench,https://x.com/MarcusBench,MarcusBench,,1,,"1,88118E+18",Mon Jan 20 03:19:15 +0000 2025,,,,"Duterte peddling fake news. ????

Nothing new from this family. Right? ?????? https://t.co/pJTOgyCOvO","1,88118E+18",,,FALSO,FALSO,FALSO,en,144,FALSO,,,,,,,,,,,,,,,,,,,,3,,40,27,Twitter for Android,"Duterte peddling fake news. ????

Nothing new from this family. Right? ?????? https://t.co/pJTOgyCOvO",https://twitter.com/MarcusBench/status/1881179658596794371,51140.0,TikTok
VERDADERO,FALSO,https://pbs.twimg.com/profile_banners/243139600/1723743501,Wed Jan 26 11:39:46 +0000 2011,Dirección y Gestión Pública. Máster en Comunicación y Periodismo Digital.??Análisis político ??Feijóo y el narco???Escribo en @_infoLibre y @enfoquesgal,lc.cx/4Z2SNS,https://t.co/N0cX41UrPs,114842,33957,2821,VERDADERO,VERDADERO,Costa da Morte,15320,??????????????? ?. ??????????????,"1,67177E+33",https://pbs.twimg.com/profile_images/1855918990356623360/ieIfWoBc_normal.jpg,205233,https://twitter.com/crispmarcote,https://x.com/crispmarcote,crispmarcote,,2,,"1,8621E+18",Thu Nov 28 11:50:21 +0000 2024,,,,"Denuncias basadas en bulos de medios que subvenciona el PP con dinero público. 

A lo mejor el foco hay que ponerlo ahí y multar a quien emplea el dinero de todos en subvencionar desinformación. 

En Galicia lo llamamos : Método Feijóo. Utilizar el dinero público para cargarse https://t.co/l62vcl3fCp","1,8621E+18",,,FALSO,FALSO,FALSO,es,303,FALSO,,,,,,,,,,,,,,,,,,,,2,,18,195,Twitter for iPhone,"Denuncias basadas en bulos de medios que subvenciona el PP con dinero público. 

A lo mejor el foco hay que ponerlo ahí y multar a quien emplea el dinero de todos en subvencionar desinformación. 

En Galicia lo llamamos : Método Feijóo. Utilizar el dinero público para cargarse al rival de manera ilícita.",https://twitter.com/crispmarcote/status/1862101723768123656,41840.0,TikTok
VERDADERO,VERDADERO,https://pbs.twimg.com/profile_banners/1365784202030030849/1726573657,Sat Feb 27 22:02:03 +0000 2021,Polyglot ||Trendsetter || Software Artisan|| Venture capitalist ||Future Cyber Sentinel || Humanist??,,,4209,2922,2982,FALSO,VERDADERO,,709,????????????,"1,88197E+33",https://pbs.twimg.com/profile_images/1868691889441910784/z_cic3ii_normal.jpg,14810,https://twitter.com/AlMuhaaz,https://x.com/AlMuhaaz,AlMuhaaz,,60,,"1,8704E+18",Sat Dec 21 09:38:20 +0000 2024,,,,"A Northern Muslim just sent me a DM now that I should please slow down this movement, ??????

We remained unconquered, we are Middle-belt, We have no culture Affiliation with North or whatsoever.

You don't tell me what to call my home, time of misinformation is over.","1,8704E+18",,,FALSO,FALSO,FALSO,en,3266,,,,,,,,,,,,,,,,,,,,,22,,140,992,Twitter for Android,"A Northern Muslim just sent me a DM now that I should please slow down this movement, ??????

We remained unconquered, we are Middle-belt, We have no culture Affiliation with North or whatsoever.

You don't tell me what to call my home, time of misinformation is over.",https://twitter.com/AlMuhaaz/status/1870403420416335974,1047960.0,TikTok
VERDADERO,FALSO,https://pbs.twimg.com/profile_banners/113753398/1724863773,Fri Feb 12 22:54:25 +0000 2010,"Former VP Chamber of Commerce. I've met 2 Prime Ministers and chatted with a third.
also find me on blue sky 
https://t.co/nntnCJe3fH",Liberal.ca,https://t.co/B6k62aXbcf,74801,6068,4572,VERDADERO,FALSO,Canada,13518,Bill Rice ??,"1,368E+34",https://pbs.twimg.com/profile_images/1075266218070691841/P0r-zGtv_normal.jpg,84563,https://twitter.com/2muchfun4me,https://x.com/2muchfun4me,2muchfun4me,,25,,"1,87397E+18",Tue Dec 31 06:00:51 +0000 2024,,,,"Canada's struggles aren't on PM Justin Trudeau. They're the result of decades of neglect, magnified by COVID-19. PMJT has the solutions we need. Don't let corporate giants &amp; fake news tear down our hope. Stand with Canada's Jimmy Carter.
The world desperately needs more Trudeau https://t.co/DrvLOPzHp0","1,87397E+18",,,FALSO,FALSO,FALSO,en,1570,FALSO,,,,,,,,,,,,,,,,,,,,26,,298,474,Twitter for Android,"Canada's struggles aren't on PM Justin Trudeau. They're the result of decades of neglect, magnified by COVID-19. PMJT has the solutions we need. Don't let corporate giants &amp; fake news tear down our hope. Stand with Canada's Jimmy Carter.
The world desperately needs more Trudeau https://t.co/DrvLOPzHp0",https://twitter.com/2muchfun4me/status/1873972568992211185,446440.0,TikTok
VERDADERO,FALSO,https://pbs.twimg.com/profile_banners/3025717750/1737393666,Sun Feb 08 22:24:18 +0000 2015,Los inocentes no necesitan perdón,,,404300,32400,32467,VERDADERO,FALSO,,96,Olimpia de Epiro,"1,88182E+34",https://pbs.twimg.com/profile_images/1674367814147211264/2DU2NDog_normal.jpg,4692,https://twitter.com/olimpia_epiro,https://x.com/olimpia_epiro,olimpia_epiro,,3,,"1,7841E+18",Sat Apr 27 05:40:10 +0000 2024,,,,"Si todo es mentira que actúe la justicia y si es verdad, que actúe la justicia ¿por qué no se querella Begoña contra el periódico que ha publicado la información falsa?","1,7841E+18",,,FALSO,FALSO,FALSO,es,589,,,,,,,,,,,,,,,,,,,,,7,,88,218,Twitter Web App,"Si todo es mentira que actúe la justicia y si es verdad, que actúe la justicia ¿por qué no se querella Begoña contra el periódico que ha publicado la información falsa?",https://twitter.com/olimpia_epiro/status/1784095172508139767,103270.0,TikTok
FALSO,VERDADERO,https://pbs.twimg.com/profile_banners/1652356138040545288/1736564486,Sat Apr 29 16:56:49 +0000 2023,"El Dato, informa al instante las noticias de política de Ecuador y el mundo. #ElDato | Sede central en Buenos Aires - Argentina @ElDatoIntern #TendenciaPolítica",,,20401,68655,25,FALSO,VERDADERO,"Guayaquil, Ecuador",6028,El Dato,,https://pbs.twimg.com/profile_images/1865150524900728832/UI0ASoba_normal.jpg,6411,https://twitter.com/ElDatoX,https://x.com/ElDatoX,ElDatoX,,2,,"1,88186E+18",Wed Jan 22 00:35:03 +0000 2025,0.0,70.0,ElDato,"#ElDato ???? En el debate la candidata del correísmo Luisa González dijo que brinda ""asesoría legal"" por ser abogada.

Pero en la realidad su RUC está #SUSPENDIDO por cese de actividades.

?? ¿Fue mentira?
?? ¿No factura los servicios profesionales?
?? ¿Evade impuestos?
?? ¿No https://t.co/oM396LcI7E","1,88186E+18",,,FALSO,FALSO,FALSO,es,208,FALSO,,,,,,,,,,,,,,,,,,,,1,,25,103,Twitter for Android,"#ElDato ???? En el debate la candidata del correísmo Luisa González dijo que brinda ""asesoría legal"" por ser abogada.

Pero en la realidad su RUC está #SUSPENDIDO por cese de actividades.

?? ¿Fue mentira?
?? ¿No factura los servicios profesionales?
?? ¿Evade impuestos?
?? ¿No declara sus ingresos?",https://twitter.com/ElDatoX/status/1881863108961980892,30320.0,TikTok
